interval,rho,C,speed,Î”M,R
0-2,2102,497080,74.67027367802889,1097738233,0.23565177540706872
2-4,2118,496855,75.7172632791918,1086944603,0.18537434125342783
4-6,2123,496968,76.43440264691074,1060195374,0.3183068298743731
6-8,2146,497121,74.51928067562626,1090453267,0.40081071172664384
8-10,2154,496987,74.93673721925221,1208536380,0.4657309010978773
10-12,2154,497008,75.78219854655872,1282558796,0.613568181397288
12-14,2136,496936,76.27089092143292,1389508716,0.6316862500531562
14-16,2141,496905,77.1867535603625,1348516281,0.6552418848320158
16-18,2122,496890,78.46835861037287,1238963369,0.5721149659014897
18-20,2123,497028,77.50230197398596,1154535654,0.5316187599810616
20-22,2114,496834,76.61339252048127,1147369137,0.27822847183354354
22-24,2119,497071,74.92019908334521,1160742416,0.3643366067762903
