Carrier,Name,Voyage,ETA,ETB,ETD
ZIM,Tian Yi Fa Zhan,"283E, 2565E",12 Aug 2025,-,12 Aug 2025
ZIM,Hai Long 999,"278E, B2533E",12 Aug 2025,-,12 Aug 2025
ZIM,Da Xin 66,"187E, 25065E",12 Aug 2025,-,12 Aug 2025
ZIM,Jia Xing 22,"145E, 2516E",12 Aug 2025,-,12 Aug 2025
ZIM,Da Xin 77,"93E, B2533",12 Aug 2025,-,12 Aug 2025
ZIM,Fei Li Da 2,"27E, 2530E",12 Aug 2025,-,13 Aug 2025
ZIM,Shungang2688,"45E, 2532",12 Aug 2025,-,12 Aug 2025
ZIM,Wu Jia Zui Ji 19,"127E, L2565E",12 Aug 2025,-,12 Aug 2025
ZIM,Zhong Yi Run Da,"485E, 2554E",12 Aug 2025,-,12 Aug 2025
ZIM,Zhongwaiyunchangjiang003,"604E, 2533E",12 Aug 2025,-,12 Aug 2025
ZIM,Wu Xiang 79,"151E, 2565E",12 Aug 2025,-,13 Aug 2025
ZIM,Hai Long 999,"278E, B2533E",13 Aug 2025,-,13 Aug 2025
ZIM,Jia Xing 22,"145E, 2516E",13 Aug 2025,-,13 Aug 2025
ZIM,Da Xin 66,"187E, 25065E",13 Aug 2025,-,13 Aug 2025
ZIM,Shungang2688,"45E, 2532",13 Aug 2025,-,13 Aug 2025
ZIM,Zhong Yi Run Da,"485E, 2554E",13 Aug 2025,-,13 Aug 2025
ZIM,Zhongwaiyunchangjiang003,"604E, 2533E",13 Aug 2025,-,13 Aug 2025
ZIM,Da Xin 77,"93E, B2533",13 Aug 2025,-,13 Aug 2025
ZIM,Wu Jia Zui Ji 19,"127E, L2565E",13 Aug 2025,-,13 Aug 2025
ZIM,Tian Yi Fa Zhan,"283E, 2565E",13 Aug 2025,-,13 Aug 2025
ZIM,Heng Long 8,"55E, 2532",13 Aug 2025,-,13 Aug 2025
ZIM,Fu Jin Tong Hai,"47E, L2514E",13 Aug 2025,-,13 Aug 2025
ZIM,Zhongwaiyunchangjiang003,"604W, 2533W",13 Aug 2025,-,13 Aug 2025
ZIM,Hai Long 999,"278W, B2533W",13 Aug 2025,-,15 Aug 2025
ZIM,Jia Xing 22,"145W, 2516W",13 Aug 2025,-,13 Aug 2025
ZIM,Shungang2688,"45W, 2532",13 Aug 2025,-,13 Aug 2025
ZIM,Zhong Yi Run Da,"485W, 2554W",13 Aug 2025,-,13 Aug 2025
ZIM,Zhong Cheng 89,"672E, B2533E",13 Aug 2025,-,13 Aug 2025
ZIM,Da Xin 77,"93W, B2533",13 Aug 2025,-,13 Aug 2025
ZIM,Wu Jia Zui Ji 19,"127W, L2565W",13 Aug 2025,-,13 Aug 2025
ZIM,Run Fa Xing Fu,"125E, 2514E",13 Aug 2025,-,13 Aug 2025
ZIM,Da Xin 66,"187W, 25065W",13 Aug 2025,-,13 Aug 2025
ZIM,Heng Long 8,"55W, 2532",13 Aug 2025,-,13 Aug 2025
ZIM,Tian Yi Fa Zhan,"283W, 2565W",13 Aug 2025,-,13 Aug 2025
ZIM,Run Fa Xing Fu,"125E, 2514E",13 Aug 2025,-,13 Aug 2025
ZIM,Fu Jin Tong Hai,"47E, L2514E",13 Aug 2025,-,13 Aug 2025
ZIM,Zhong Cheng 89,"672E, B2533E",13 Aug 2025,-,13 Aug 2025
ZIM,Ji Hai Zhi Xing,"529S, X650S",13 Aug 2025,-,13 Aug 2025
ZIM,Fu Jin Tong Hai,"47W, L2514W",13 Aug 2025,-,13 Aug 2025
ZIM,Run Fa Xing Fu,"125W, 2514W",13 Aug 2025,-,13 Aug 2025
ZIM,Zhong Cheng 89,"672W, B2533W",13 Aug 2025,-,13 Aug 2025
ZIM,Valiant,"16E, GN531E",13 Aug 2025,-,14 Aug 2025
ZIM,Shimin,"18E, 029E",13 Aug 2025,-,14 Aug 2025
ZIM,Yuanhai6,"218E, 2508E",13 Aug 2025,-,13 Aug 2025
ZIM,Yuanhai6,"218E, 2508E",13 Aug 2025,-,13 Aug 2025
ZIM,Xiang Shui Yun 27,"24E, 024E",13 Aug 2025,-,13 Aug 2025
ZIM,Yuanhai6,"218W, 2508W",13 Aug 2025,-,13 Aug 2025
ZIM,Xiang Shui Yun 27,"24E, 024E",13 Aug 2025,-,13 Aug 2025
ZIM,Wu Xiang 79,"151E, 2565E",13 Aug 2025,-,13 Aug 2025
ZIM,Xiang Shui Yun 27,"24W, 024W",13 Aug 2025,-,13 Aug 2025
ZIM,Wu Xiang 79,"151W, 2565W",13 Aug 2025,-,14 Aug 2025
ZIM,As Columbia,"317N, 530N",13 Aug 2025,-,14 Aug 2025
ZIM,Fei Li Da 2,"27E, 2530E",13 Aug 2025,-,13 Aug 2025
ZIM,Puhai213,"88E, 25065E",13 Aug 2025,-,13 Aug 2025
ZIM,Da Xin 7,"507E, 2533",13 Aug 2025,-,13 Aug 2025
ZIM,Xinchangfeng717,"42E, C2510E",13 Aug 2025,-,13 Aug 2025
ZIM,Zhong Cheng 19,"563E, N2533",13 Aug 2025,-,13 Aug 2025
ZIM,Minyu2201,"3E, C2512E",13 Aug 2025,-,13 Aug 2025
ZIM,Shunyunzhixing,"317E, L2565E",13 Aug 2025,-,13 Aug 2025
ZIM,Xinhao11,"14E, 2505E",13 Aug 2025,-,13 Aug 2025
ZIM,Zhong Yi Ji Rui,"333E, 2554E",13 Aug 2025,-,13 Aug 2025
ZIM,Runxingji99,"10E, 25032Z",13 Aug 2025,-,14 Aug 2025
ZIM,Ze Xin Jun Jie,"263E, 2533E",13 Aug 2025,-,13 Aug 2025
ZIM,Minjiang,"13E, B137E",13 Aug 2025,-,13 Aug 2025
ZIM,Menggang099,"33E, C2509E",13 Aug 2025,-,13 Aug 2025
ZIM,Rong Mao 3,"66E, 2533S",13 Aug 2025,-,13 Aug 2025
ZIM,Jia Xing 68,"561E, 2533E",13 Aug 2025,-,13 Aug 2025
ZIM,Changhangjiyun0323,"46E, C2512E",13 Aug 2025,-,13 Aug 2025
ZIM,Zhong Cheng 16,"655E, L2565E",13 Aug 2025,-,14 Aug 2025
ZIM,Guanrong1211,"31E, C2507E",13 Aug 2025,-,13 Aug 2025
ZIM,Guanrong1211,"31E, C2507E",14 Aug 2025,-,14 Aug 2025
ZIM,Da Xin 7,"507E, 2533",14 Aug 2025,-,14 Aug 2025
ZIM,Rong Mao 3,"66E, 2533S",14 Aug 2025,-,14 Aug 2025
ZIM,Ze Xin Jun Jie,"263E, 2533E",14 Aug 2025,-,14 Aug 2025
ZIM,Xinhao11,"14E, 2505E",14 Aug 2025,-,14 Aug 2025
ZIM,Shunyunzhixing,"317E, L2565E",14 Aug 2025,-,14 Aug 2025
ZIM,Menggang099,"33E, C2509E",14 Aug 2025,-,14 Aug 2025
ZIM,Xinchangfeng717,"42E, C2510E",14 Aug 2025,-,14 Aug 2025
ZIM,Fei Li Da 2,"27W, 2530W",14 Aug 2025,-,14 Aug 2025
ZIM,Minyu2201,"3E, C2512E",14 Aug 2025,-,14 Aug 2025
ZIM,Zhong Yi Ji Rui,"333E, 2554E",14 Aug 2025,-,14 Aug 2025
ZIM,Minjiang,"13E, B137E",14 Aug 2025,-,14 Aug 2025
ZIM,Jia Xing 68,"561E, 2533E",14 Aug 2025,-,14 Aug 2025
ZIM,Changhangjiyun0323,"46E, C2512E",14 Aug 2025,-,14 Aug 2025
ZIM,Puhai213,"88E, 25065E",14 Aug 2025,-,14 Aug 2025
ZIM,Zhong Cheng 19,"563E, N2533",14 Aug 2025,-,14 Aug 2025
ZIM,Cul Xiamen,"550W, 2524E",14 Aug 2025,-,14 Aug 2025
ZIM,Glory Ocean,"587S, 2533S",14 Aug 2025,-,15 Aug 2025
ZIM,Xinchangfeng717,"42W, C2510W",14 Aug 2025,-,14 Aug 2025
ZIM,Ze Xin Jun Jie,"263W, 2533W",14 Aug 2025,-,16 Aug 2025
ZIM,Minjiang,"13W, B137W",14 Aug 2025,-,14 Aug 2025
ZIM,Xinhao11,"14W, 2505W",14 Aug 2025,-,14 Aug 2025
ZIM,Shunyunzhixing,"317W, L2565W",14 Aug 2025,-,14 Aug 2025
ZIM,Zhong Yi Ji Rui,"333W, 2554W",14 Aug 2025,-,14 Aug 2025
ZIM,Runxingji99,"10E, 25032Z",14 Aug 2025,-,14 Aug 2025
ZIM,Jia Xing 68,"561W, 2533W",14 Aug 2025,-,14 Aug 2025
ZIM,Da Xin 7,"507W, 2533",14 Aug 2025,-,14 Aug 2025
ZIM,Rong Mao 3,"66W, 2533N",14 Aug 2025,-,14 Aug 2025
ZIM,Guanrong1211,"31W, C2507W",14 Aug 2025,-,14 Aug 2025
ZIM,Zhong Cheng 19,"563W, N2533",14 Aug 2025,-,14 Aug 2025
ZIM,Puhai213,"88W, 25065W",14 Aug 2025,-,14 Aug 2025
ZIM,Menggang099,"33W, C2509W",14 Aug 2025,-,14 Aug 2025
ZIM,Changhangjiyun0323,"46W, C2512W",14 Aug 2025,-,14 Aug 2025
ZIM,Minyu2201,"3W, C2512W",14 Aug 2025,-,14 Aug 2025
ZIM,Mild Chorus,"99W, 2532W",14 Aug 2025,-,14 Aug 2025
ZIM,Runxingji99,"10W, 25032Z",14 Aug 2025,-,14 Aug 2025
ZIM,Shun Da,"3W, 2532W",14 Aug 2025,-,14 Aug 2025
ZIM,Bai Chay Bridge,"193W, 145W",14 Aug 2025,-,15 Aug 2025
ZIM,Zhong Cheng 16,"655E, L2565E",14 Aug 2025,-,14 Aug 2025
ZIM,Zhong Cheng 16,"655W, L2565W",14 Aug 2025,-,15 Aug 2025
ZIM,Wu Xiang 16,"268E, 2533E",14 Aug 2025,-,14 Aug 2025
ZIM,Sheng Da Xu Yuan,"27E, 2541E",14 Aug 2025,-,14 Aug 2025
ZIM,Jiang Hai Tong 199,"46E, 25033E",14 Aug 2025,-,14 Aug 2025
ZIM,Jiang Yuan Ji 6,"137E, B2533E",14 Aug 2025,-,14 Aug 2025
ZIM,Jinyuanronghe,"19E, 2533EA",14 Aug 2025,-,14 Aug 2025
ZIM,Puhai215,"46E, 25033E",14 Aug 2025,-,14 Aug 2025
ZIM,Sheng Da Xu Yuan,"27E, 2541E",15 Aug 2025,-,15 Aug 2025
ZIM,Jiang Yuan Ji 6,"137E, B2533E",15 Aug 2025,-,15 Aug 2025
ZIM,Puhai215,"46E, 25033E",15 Aug 2025,-,15 Aug 2025
ZIM,Wu Xiang 16,"268E, 2533E",15 Aug 2025,-,15 Aug 2025
ZIM,Jinyuanronghe,"19E, 2533EA",15 Aug 2025,-,15 Aug 2025
ZIM,Zim Mount Rainier,9E,15 Aug 2025,-,18 Aug 2025
ZIM,Jiang Hai Tong 199,"46E, 25033E",15 Aug 2025,-,15 Aug 2025
ZIM,Cul Xiamen,"551E, 2525E",15 Aug 2025,-,16 Aug 2025
ZIM,Infinity,"4S, 2532S",15 Aug 2025,-,15 Aug 2025
ZIM,Wu Xiang 16,"268W, 2533W",15 Aug 2025,-,15 Aug 2025
ZIM,Sheng Da Xu Yuan,"27W, 2541W",15 Aug 2025,-,15 Aug 2025
ZIM,Jiang Yuan Ji 6,"137W, B2533W",15 Aug 2025,-,15 Aug 2025
ZIM,Jiang Hai Tong 199,"46W, 25033W",15 Aug 2025,-,15 Aug 2025
ZIM,Puhai215,"46W, 25033W",15 Aug 2025,-,16 Aug 2025
ZIM,Jinyuanronghe,"19W, 2533EA",15 Aug 2025,-,15 Aug 2025
ZIM,Run Sheng,80E,15 Aug 2025,-,15 Aug 2025
ZIM,A Ontake,"30W, 2532W",15 Aug 2025,-,15 Aug 2025
ZIM,San Antonio Maersk,"7W, 533W",15 Aug 2025,-,16 Aug 2025
ZIM,Jinxing9,"46E, 2533",15 Aug 2025,-,15 Aug 2025
ZIM,Jinxing9,"46E, 2533",15 Aug 2025,-,15 Aug 2025
ZIM,Jinxing9,"46W, 2533",15 Aug 2025,-,15 Aug 2025
ZIM,Emmanuel P,"519E, 013E",15 Aug 2025,-,16 Aug 2025
ZIM,Ial 001,"85W, 10196E",15 Aug 2025,-,16 Aug 2025
ZIM,Zhong Wai Yun Chang Jiang 002,"522E, 2533E",15 Aug 2025,-,15 Aug 2025
ZIM,Hua Hang Lan Hai,"46E, 2533",15 Aug 2025,-,15 Aug 2025
ZIM,Zhong Yi Ze Tai,"232E, 2554E",15 Aug 2025,-,15 Aug 2025
ZIM,Zhong Hai Ji 18,"211E, 2517E",15 Aug 2025,-,15 Aug 2025
ZIM,Zhong Cheng 69,"353E, L2533E",15 Aug 2025,-,15 Aug 2025
ZIM,Fei Li Da 1,"28E, 2532E",15 Aug 2025,-,16 Aug 2025
ZIM,Wu Xiang 76,"128E, B2533",15 Aug 2025,-,15 Aug 2025
ZIM,Jia Xing 18,"764E, 2533E",15 Aug 2025,-,15 Aug 2025
ZIM,Hai Long 666,"336E, B2533E",15 Aug 2025,-,15 Aug 2025
ZIM,Wei Ji 8 Hao,"46E, 2533",15 Aug 2025,-,15 Aug 2025
ZIM,Gang Hang Shi Dai,"10E, L2532E",15 Aug 2025,-,15 Aug 2025
ZIM,Puruiyonghang,"173E, 2533S",15 Aug 2025,-,15 Aug 2025
ZIM,Hua Hang Lan Hai,"46E, 2533",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Hai Ji 18,"211E, 2517E",16 Aug 2025,-,16 Aug 2025
ZIM,Puruiyonghang,"173E, 2533S",16 Aug 2025,-,16 Aug 2025
ZIM,Hai Long 666,"336E, B2533E",16 Aug 2025,-,16 Aug 2025
ZIM,Gang Hang Shi Dai,"10E, L2532E",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Yi Ze Tai,"232E, 2554E",16 Aug 2025,-,16 Aug 2025
ZIM,Wu Xiang 76,"128E, B2533",16 Aug 2025,-,16 Aug 2025
ZIM,Jia Xing 18,"764E, 2533E",16 Aug 2025,-,16 Aug 2025
ZIM,Jj Tokyo,"197W, 2532W",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Cheng 69,"353E, L2533E",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Wai Yun Chang Jiang 002,"522E, 2533E",16 Aug 2025,-,16 Aug 2025
ZIM,Wei Ji 8 Hao,"46E, 2533",16 Aug 2025,-,16 Aug 2025
ZIM,Wei Ji 8 Hao,"46W, 2533",16 Aug 2025,-,18 Aug 2025
ZIM,Zhong Cheng 69,"353W, L2533W",16 Aug 2025,-,16 Aug 2025
ZIM,Hua Sheng Fa Zhan,"63E, L2514E",16 Aug 2025,-,16 Aug 2025
ZIM,Jia Xing 18,"764W, 2533W",16 Aug 2025,-,16 Aug 2025
ZIM,Wu Xiang 76,"128W, B2533",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Yi Ze Tai,"232W, 2554W",16 Aug 2025,-,16 Aug 2025
ZIM,Gang Hang Shi Dai,"10W, L2532W",16 Aug 2025,-,16 Aug 2025
ZIM,Huan Qiu Fa Zhan,"122E, 2514E",16 Aug 2025,-,16 Aug 2025
ZIM,Hai Long 666,"336W, B2533W",16 Aug 2025,-,18 Aug 2025
ZIM,Puruiyonghang,"173W, 2533N",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Hai Ji 18,"211W, 2517W",16 Aug 2025,-,16 Aug 2025
ZIM,Hua Hang Lan Hai,"46W, 2533",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Wai Yun Chang Jiang 002,"522W, 2533W",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Cheng 99,"666E, B2533E",16 Aug 2025,-,16 Aug 2025
ZIM,Msc Laurence,"1W, QK529R",16 Aug 2025,-,16 Aug 2025
ZIM,Hua Sheng Fa Zhan,"63E, L2514E",16 Aug 2025,-,16 Aug 2025
ZIM,Huan Qiu Fa Zhan,"122E, 2514E",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Cheng 99,"666E, B2533E",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Cheng 99,"666W, B2533W",16 Aug 2025,-,16 Aug 2025
ZIM,Hua Sheng Fa Zhan,"63W, L2514W",16 Aug 2025,-,16 Aug 2025
ZIM,Huan Qiu Fa Zhan,"122W, 2514W",16 Aug 2025,-,16 Aug 2025
ZIM,Wu Xiang 79,"152E, 2566E",16 Aug 2025,-,16 Aug 2025
ZIM,Wu Jia Zui Ji 19,"128E, L2566E",16 Aug 2025,-,16 Aug 2025
ZIM,Tian Yi Fa Zhan,"284E, 2566E",16 Aug 2025,-,16 Aug 2025
ZIM,Da Xin 66,"188E, 25066E",16 Aug 2025,-,16 Aug 2025
ZIM,Bhudthi Bhum,"19E, 028E",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Gu Shan Dong,"533W, 533W",16 Aug 2025,-,17 Aug 2025
ZIM,Da Xin 66,"188E, 25066E",16 Aug 2025,-,16 Aug 2025
ZIM,Tian Yi Fa Zhan,"284E, 2566E",16 Aug 2025,-,16 Aug 2025
ZIM,Wu Jia Zui Ji 19,"128E, L2566E",16 Aug 2025,-,16 Aug 2025
ZIM,Huafenghesheng,"107E, 2509E",16 Aug 2025,-,16 Aug 2025
ZIM,Xiang Yuan No. 16,"266E, 324E",16 Aug 2025,-,16 Aug 2025
ZIM,Ym Celebrity,"20S, 090S",16 Aug 2025,-,17 Aug 2025
ZIM,Huafenghesheng,"107E, 2509E",16 Aug 2025,-,16 Aug 2025
ZIM,Tian Yi Fa Zhan,"284W, 2566W",16 Aug 2025,-,16 Aug 2025
ZIM,Wu Jia Zui Ji 19,"128W, L2566W",16 Aug 2025,-,16 Aug 2025
ZIM,Da Xin 66,"188W, 25066W",16 Aug 2025,-,16 Aug 2025
ZIM,Kmtc Tanjin,"2E, 2506E",16 Aug 2025,-,17 Aug 2025
ZIM,Xiang Yuan No. 16,"266E, 324E",16 Aug 2025,-,16 Aug 2025
ZIM,Msc Angola,"1E, QK532A",16 Aug 2025,-,17 Aug 2025
ZIM,Huafenghesheng,"107W, 2509W",16 Aug 2025,-,16 Aug 2025
ZIM,Xiang Yuan No. 16,"266W, 324W",16 Aug 2025,-,16 Aug 2025
ZIM,Sawasdee Chittagong,"7W, 2506N",16 Aug 2025,-,17 Aug 2025
ZIM,Minli,"67E, B347E",16 Aug 2025,-,16 Aug 2025
ZIM,Yangshanji01,"28E, 2533EA",16 Aug 2025,-,16 Aug 2025
ZIM,Heng Long 16,"46E, 2533",16 Aug 2025,-,16 Aug 2025
ZIM,Fei Li Da 1,"28E, 2532E",16 Aug 2025,-,17 Aug 2025
ZIM,De Lin,"457E, 2554E",16 Aug 2025,-,16 Aug 2025
ZIM,Yuhangji1168,"30E, C2513E",16 Aug 2025,-,16 Aug 2025
ZIM,Fan Ya Yang Shan,"46E, 25033E",16 Aug 2025,-,16 Aug 2025
ZIM,Wan Yuan Yang 1,"307E, 2533E",16 Aug 2025,-,16 Aug 2025
ZIM,Xin Yang Shan 1,"124E, B2533E",16 Aug 2025,-,16 Aug 2025
ZIM,Runxingji169,"9E, 25033Z",16 Aug 2025,-,17 Aug 2025
ZIM,Tuohaichengxing,"46E, 2533",16 Aug 2025,-,16 Aug 2025
ZIM,Zhong Cheng 26,"438E, B2533E",16 Aug 2025,-,16 Aug 2025
ZIM,Heung-A Xiamen,13E,16 Aug 2025,-,17 Aug 2025
ZIM,Hong Hao 5,"78E, B2533E",16 Aug 2025,-,17 Aug 2025
ZIM,Yangshanji01,"28E, 2533EA",17 Aug 2025,-,17 Aug 2025
ZIM,Fan Ya Yang Shan,"46E, 25033E",17 Aug 2025,-,17 Aug 2025
ZIM,Zhong Cheng 26,"438E, B2533E",17 Aug 2025,-,17 Aug 2025
ZIM,Yuhangji1168,"30E, C2513E",17 Aug 2025,-,17 Aug 2025
ZIM,Jj Tokyo,"198E, 2533E",17 Aug 2025,-,17 Aug 2025
ZIM,De Lin,"457E, 2554E",17 Aug 2025,-,17 Aug 2025
ZIM,Tuohaichengxing,"46E, 2533",17 Aug 2025,-,17 Aug 2025
ZIM,Minli,"67E, B347E",17 Aug 2025,-,17 Aug 2025
ZIM,Wan Yuan Yang 1,"307E, 2533E",17 Aug 2025,-,17 Aug 2025
ZIM,Heng Long 16,"46E, 2533",17 Aug 2025,-,17 Aug 2025
ZIM,Xin Yang Shan 1,"124E, B2533E",17 Aug 2025,-,17 Aug 2025
ZIM,Hong Hao 5,"78E, B2533E",17 Aug 2025,-,17 Aug 2025
ZIM,Runxingji169,"9E, 25033Z",17 Aug 2025,-,17 Aug 2025
ZIM,Minli,"67W, B347W",17 Aug 2025,-,17 Aug 2025
ZIM,Fan Ya Yang Shan,"46W, 25033W",17 Aug 2025,-,17 Aug 2025
ZIM,Zhong Cheng 26,"438W, B2533W",17 Aug 2025,-,17 Aug 2025
ZIM,Xin Yang Shan 1,"124W, B2533W",17 Aug 2025,-,17 Aug 2025
ZIM,Yuhangji1168,"30W, C2513W",17 Aug 2025,-,17 Aug 2025
ZIM,Wan Yuan Yang 1,"307W, 2533W",17 Aug 2025,-,17 Aug 2025
ZIM,De Lin,"457W, 2554W",17 Aug 2025,-,17 Aug 2025
ZIM,Fei Li Da 1,"28W, 2532W",17 Aug 2025,-,17 Aug 2025
ZIM,Yangshanji01,"28W, 2533EA",17 Aug 2025,-,17 Aug 2025
ZIM,Heng Long 16,"46W, 2533",17 Aug 2025,-,18 Aug 2025
ZIM,Tuohaichengxing,"46W, 2533",17 Aug 2025,-,17 Aug 2025
ZIM,Hong Hao 5,"78W, B2533W",17 Aug 2025,-,17 Aug 2025
ZIM,Wu Xiang 79,"152E, 2566E",17 Aug 2025,-,17 Aug 2025
ZIM,Wu Xiang 79,"152W, 2566W",17 Aug 2025,-,17 Aug 2025
ZIM,Runxingji169,"9W, 25033Z",17 Aug 2025,-,17 Aug 2025
ZIM,A Kakogawa,"46W, 2532W",17 Aug 2025,-,17 Aug 2025
ZIM,Ts Incheon,"49E, 25033E",17 Aug 2025,-,17 Aug 2025
ZIM,Puhai213,"89E, 25066E",17 Aug 2025,-,17 Aug 2025
ZIM,Zhong Cheng 16,"656E, L2566E",17 Aug 2025,-,17 Aug 2025
ZIM,Shunyunzhixing,"318E, L2566E",17 Aug 2025,-,17 Aug 2025
ZIM,Shun Ze 1,"300E, 25033E",17 Aug 2025,-,17 Aug 2025
ZIM,Ca Shanghai,"11S, 2514S",17 Aug 2025,-,18 Aug 2025
ZIM,Shunyunzhixing,"318E, L2566E",17 Aug 2025,-,17 Aug 2025
ZIM,Puhai213,"89E, 25066E",17 Aug 2025,-,17 Aug 2025
ZIM,Shun Ze 1,"300E, 25033E",17 Aug 2025,-,17 Aug 2025
ZIM,Shunyunzhixing,"318W, L2566W",17 Aug 2025,-,17 Aug 2025
ZIM,Puhai213,"89W, 25066W",17 Aug 2025,-,17 Aug 2025
ZIM,Shun Ze 1,"300W, 25033W",17 Aug 2025,-,17 Aug 2025
ZIM,Gang Hang Yun Ji,"11E, 2535E",17 Aug 2025,-,17 Aug 2025
ZIM,De Jin 7,"419E, 2533E",17 Aug 2025,-,17 Aug 2025
ZIM,Qian Kun 9999,"31E, L2532E",17 Aug 2025,-,17 Aug 2025
ZIM,Heng Long 99,"31E, 2549E",17 Aug 2025,-,17 Aug 2025
ZIM,De Feng 201,"75E, 2533S",17 Aug 2025,-,17 Aug 2025
ZIM,Jiang Hai Tong 188,"59E, 25033E",17 Aug 2025,-,17 Aug 2025
ZIM,Nakskov Maersk,"38S, 532S",17 Aug 2025,-,18 Aug 2025
ZIM,Nordager Maersk,"43S, 532S",18 Aug 2025,-,18 Aug 2025
ZIM,Gang Hang Yun Ji,"11E, 2535E",18 Aug 2025,-,18 Aug 2025
ZIM,Qian Kun 9999,"31E, L2532E",18 Aug 2025,-,18 Aug 2025
ZIM,Jiang Hai Tong 188,"59E, 25033E",18 Aug 2025,-,18 Aug 2025
ZIM,Heng Long 99,"31E, 2549E",18 Aug 2025,-,18 Aug 2025
ZIM,De Jin 7,"419E, 2533E",18 Aug 2025,-,18 Aug 2025
ZIM,De Feng 201,"75E, 2533S",18 Aug 2025,-,18 Aug 2025
ZIM,Glory Ocean,"587N, 2533N",18 Aug 2025,-,18 Aug 2025
ZIM,Gsl Kithira,963E,18 Aug 2025,-,18 Aug 2025
ZIM,Ts Lianyungang,"25E, 25033E",18 Aug 2025,-,19 Aug 2025
ZIM,De Feng 201,"75W, 2533N",18 Aug 2025,-,18 Aug 2025
ZIM,Heng Long 99,"31W, 2549W",18 Aug 2025,-,18 Aug 2025
ZIM,Qian Kun 9999,"31W, L2532W",18 Aug 2025,-,18 Aug 2025
ZIM,De Jin 7,"419W, 2533W",18 Aug 2025,-,18 Aug 2025
ZIM,Jiang Hai Tong 188,"59W, 25033W",18 Aug 2025,-,18 Aug 2025
ZIM,Esl Oman,"478W, 02533W",18 Aug 2025,-,19 Aug 2025
ZIM,Gang Hang Yun Ji,"11W, 2535W",18 Aug 2025,-,18 Aug 2025
ZIM,Zhong Cheng 16,"656E, L2566E",18 Aug 2025,-,18 Aug 2025
ZIM,Zim Eagle,12E,18 Aug 2025,-,19 Aug 2025
ZIM,Xiu Hong,"49W, 2533W",18 Aug 2025,-,18 Aug 2025
ZIM,Zhong Cheng 16,"656W, L2566W",18 Aug 2025,-,18 Aug 2025
ZIM,Oocl Taipei,"18W, 086W",18 Aug 2025,-,19 Aug 2025
ZIM,A Ontake,31E,18 Aug 2025,-,18 Aug 2025
ZIM,Bear Mountain Bridge,"30E, 128E",18 Aug 2025,-,19 Aug 2025
ZIM,A Kakogawa,47E,18 Aug 2025,-,18 Aug 2025
ZIM,Msc Barbara,"47S, KQ533A",18 Aug 2025,-,19 Aug 2025
ZIM,Yuanhai8,295E,18 Aug 2025,-,19 Aug 2025
ZIM,Ophelia,55S,18 Aug 2025,-,19 Aug 2025
ZIM,Xin Yuan He 9,"46E, 25033E",18 Aug 2025,-,18 Aug 2025
ZIM,Xiangyu101,"11E, 25033Z",18 Aug 2025,-,19 Aug 2025
ZIM,Qiankun02,"33E, 2533EA",18 Aug 2025,-,18 Aug 2025
ZIM,Xin Yuan He 9,"46E, 25033E",19 Aug 2025,-,19 Aug 2025
ZIM,Qiankun02,"33E, 2533EA",19 Aug 2025,-,19 Aug 2025
ZIM,Xiangyu101,"11E, 25033Z",19 Aug 2025,-,19 Aug 2025
ZIM,Xiu Hong,"50E, 2534E",19 Aug 2025,-,19 Aug 2025
ZIM,Xiangyu101,"11W, 25033Z",19 Aug 2025,-,19 Aug 2025
ZIM,Zhong Yi Run Tong,319N,19 Aug 2025,-,19 Aug 2025
